Rank,M,W
164,0.40789473684210525,0.35714285714285715
165,0.2830188679245283,0.38461538461538464
166,0.4057971014492754,0.35185185185185186
167,0.36666666666666664,0.3269230769230769
168,0.28378378378378377,0.4418604651162791
169,0.4722222222222222,0.4318181818181818
170,0.3191489361702128,0.3111111111111111
171,0.23404255319148937,0.4318181818181818
172,0.3582089552238806,0.37037037037037035
173,0.3382352941176471,0.2702702702702703
174,0.38235294117647056,0.4418604651162791
175,0.4032258064516129,0.2857142857142857
176,0.30357142857142855,0.4418604651162791
177,0.3191489361702128,0.3611111111111111
178,0.2830188679245283,0.4444444444444444
179,0.38,0.22580645161290322
180,0.4,0.2962962962962963
181,0.40350877192982454,0.42857142857142855
182,0.35294117647058826,0.3684210526315789
183,0.2727272727272727,0.35294117647058826
184,0.36065573770491804,0.2222222222222222
185,0.3709677419354839,0.4074074074074074
186,0.3125,0.35714285714285715
187,0.3170731707317073,0.37142857142857144
188,0.38461538461538464,0.25806451612903225
189,0.36363636363636365,0.3888888888888889
190,0.22857142857142856,0.3333333333333333
191,0.358974358974359,0.2826086956521739
192,0.35,0.41025641025641024
193,0.35714285714285715,0.391304347826087
194,0.3142857142857143,0.2631578947368421
195,0.32558139534883723,0.4642857142857143
196,0.4,0.37037037037037035
197,0.34210526315789475,0.375
198,0.4,0.37142857142857144
199,0.3235294117647059,0.42105263157894735
200,0.35,0.3333333333333333
201,0.23809523809523808,0.48
202,0.3125,0.2
203,0.39622641509433965,0.3333333333333333
204,0.425531914893617,0.41935483870967744
205,0.3469387755102041,0.37037037037037035
206,0.3953488372093023,0.3
207,0.3170731707317073,0.19047619047619047
208,0.35,0.4
209,0.4222222222222222,0.3
210,0.21875,0.15789473684210525
211,0.3235294117647059,0.39285714285714285
212,0.47619047619047616,0.25
213,0.25925925925925924,0.2857142857142857
214,0.4473684210526316,0.4
215,0.3076923076923077,0.21052631578947367
216,0.3870967741935484,0.3181818181818182
217,0.22727272727272727,0.3333333333333333
218,0.11764705882352941,0.17647058823529413
219,0.2692307692307692,0.2777777777777778
220,0.2777777777777778,0.4117647058823529
221,0.28,0.25
222,0.35294117647058826,0.25
223,0.2916666666666667,0.4166666666666667
224,0.22857142857142856,0.07142857142857142
225,0.3333333333333333,0.4117647058823529
226,0.34782608695652173,0.47619047619047616
227,0.2857142857142857,0.21428571428571427
228,0.4117647058823529,0.2
229,0.27586206896551724,0.15384615384615385
230,0.36363636363636365,0.23076923076923078
231,0.34615384615384615,0.3125
232,0.42857142857142855,0.2222222222222222
233,0.25,0.6521739130434783
234,0.3,0.5172413793103449
235,0.3333333333333333,0.3
236,0.38095238095238093,0.15384615384615385
237,0.3888888888888889,0.5
238,0.2727272727272727,0.4
239,0.4642857142857143,0.3
240,0.4375,0.16666666666666666
241,0.15384615384615385,0.3684210526315789
242,0.34615384615384615,0.29411764705882354
243,0.28,0.18181818181818182
244,0.25925925925925924,0.2727272727272727
245,0.375,0.38461538461538464
246,0.4074074074074074,0.42857142857142855
247,0.16666666666666666,0.1
248,0.2631578947368421,0.36363636363636365
249,0.5357142857142857,0.21428571428571427
250,0.21428571428571427,0.38461538461538464
