"Surface","WRank","Year"
"Grass",130,2000
"Grass",130,2000
"Grass",64,2000
"Grass",92,2000
"Grass",202,2000
"Grass",105,2000
"Grass",62,2000
"Grass",102,2000
"Grass",33,2000
"Grass",63,2000
"Grass",114,2000
"Grass",36,2000
"Grass",169,2000
"Grass",22,2000
"Grass",60,2000
"Grass",163,2000
"Grass",157,2000
"Grass",26,2000
"Grass",17,2000
"Grass",76,2000
"Grass",20,2000
"Grass",84,2000
"Grass",104,2000
"Grass",27,2000
"Grass",436,2000
"Grass",1,2000
"Grass",202,2000
"Grass",102,2000
"Grass",11,2000
"Grass",63,2000
"Grass",36,2000
"Grass",60,2000
"Grass",163,2000
"Grass",26,2000
"Grass",6,2000
"Grass",76,2000
"Grass",20,2000
"Grass",8,2000
"Grass",4,2000
"Grass",104,2000
"Grass",202,2000
"Grass",11,2000
"Grass",26,2000
"Grass",6,2000
"Grass",8,2000
"Grass",4,2000
"Grass",104,2000
"Grass",11,2000
"Grass",76,2000
"Grass",4,2000
"Grass",104,2000
"Grass",11,2000
"Grass",4,2000
"Grass",11,2000
"Grass",94,2000
"Grass",85,2000
"Grass",65,2000
"Grass",57,2000
"Grass",180,2000
"Grass",40,2000
"Grass",71,2000
"Grass",62,2000
"Grass",32,2000
"Grass",68,2000
"Grass",58,2000
"Grass",151,2000
"Grass",64,2000
"Grass",33,2000
"Grass",28,2000
"Grass",85,2000
"Grass",65,2000
"Grass",40,2000
"Grass",71,2000
"Grass",62,2000
"Grass",32,2000
"Grass",151,2000
"Grass",64,2000
"Grass",85,2000
"Grass",65,2000
"Grass",62,2000
"Grass",32,2000
"Grass",65,2000
"Grass",32,2000
"Grass",32,2000
"Grass",30,2000
"Grass",426,2000
"Grass",26,2000
"Grass",44,2000
"Grass",98,2000
"Grass",18,2000
"Grass",70,2000
"Grass",77,2000
"Grass",92,2000
"Grass",25,2000
"Grass",34,2000
"Grass",27,2000
"Grass",52,2000
"Grass",125,2000
"Grass",131,2000
"Grass",158,2000
"Grass",30,2000
"Grass",426,2000
"Grass",26,2000
"Grass",44,2000
"Grass",98,2000
"Grass",18,2000
"Grass",77,2000
"Grass",27,2000
"Grass",26,2000
"Grass",98,2000
"Grass",18,2000
"Grass",27,2000
"Grass",18,2000
"Grass",27,2000
"Grass",27,2000
"Clay",144,2000
"Clay",101,2000
"Clay",66,2000
"Clay",33,2000
"Clay",113,2000
"Clay",83,2000
"Clay",76,2000
"Clay",2,2000
"Clay",48,2000
"Clay",122,2000
"Clay",90,2000
"Clay",62,2000
"Clay",85,2000
"Clay",82,2000
"Clay",49,2000
"Clay",66,2000
"Clay",103,2000
"Clay",83,2000
"Clay",76,2000
"Clay",2,2000
"Clay",48,2000
"Clay",62,2000
"Clay",49,2000
"Clay",103,2000
"Clay",83,2000
"Clay",2,2000
"Clay",49,2000
"Clay",2,2000
"Clay",49,2000
"Clay",2,2000
"Clay",75,2000
"Clay",46,2000
"Clay",10,2000
"Clay",17,2000
"Clay",42,2000
"Clay",61,2000
"Clay",27,2000
"Clay",13,2000
"Clay",95,2000
"Clay",58,2000
"Clay",44,2000
"Clay",23,2000
"Clay",24,2000
"Clay",28,2000
"Clay",65,2000
"Clay",20,2000
"Clay",10,2000
"Clay",17,2000
"Clay",42,2000
"Clay",27,2000
"Clay",44,2000
"Clay",23,2000
"Clay",24,2000
"Clay",20,2000
"Clay",10,2000
"Clay",17,2000
"Clay",23,2000
"Clay",10,2000
"Clay",23,2000
"Clay",10,2000
"Grass",154,2000
"Grass",60,2000
"Grass",158,2000
"Grass",380,2000
"Grass",556,2000
"Grass",78,2000
"Grass",166,2000
"Grass",150,2000
"Grass",169,2000
"Grass",45,2000
"Grass",67,2000
"Grass",81,2000
"Grass",112,2000
"Grass",126,2000
"Grass",64,2000
"Grass",154,2000
"Grass",60,2000
"Grass",380,2000
"Grass",556,2000
"Grass",78,2000
"Grass",150,2000
"Grass",81,2000
"Grass",133,2000
"Grass",154,2000
"Grass",150,2000
"Grass",81,2000
"Grass",133,2000
"Grass",150,2000
"Grass",133,2000
"Grass",133,2000
"Clay",164,2000
"Clay",116,2000
"Clay",124,2000
"Clay",308,2000
"Clay",53,2000
"Clay",74,2000
"Clay",288,2000
"Clay",63,2000
"Clay",212,2000
"Clay",72,2000
"Clay",254,2000
"Clay",120,2000
"Clay",118,2000
"Clay",142,2000
"Clay",294,2000
"Clay",95,2000
"Clay",164,2000
"Clay",124,2000
"Clay",308,2000
"Clay",63,2000
"Clay",212,2000
"Clay",72,2000
"Clay",120,2000
"Clay",142,2000
"Clay",308,2000
"Clay",63,2000
"Clay",212,2000
"Clay",142,2000
"Clay",63,2000
"Clay",142,2000
"Clay",34,2000
"Clay",15,2000
"Clay",133,2000
"Clay",41,2000
"Clay",330,2000
