"Surface","WRank","LRank","Year","Sex"
"Hard",37,136,2000,"M"
"Hard",178,429,2000,"M"
"Hard",71,76,2000,"M"
"Hard",96,129,2000,"M"
"Hard",97,42,2000,"M"
"Hard",33,63,2000,"M"
"Hard",17,81,2000,"M"
"Hard",100,140,2000,"M"
"Hard",37,104,2000,"M"
"Hard",178,37,2000,"M"
"Hard",71,96,2000,"M"
"Hard",97,17,2000,"M"
"Hard",33,100,2000,"M"
"Hard",178,97,2000,"M"
"Hard",33,71,2000,"M"
"Hard",33,178,2000,"M"
"Clay",88,420,2000,"M"
"Clay",133,87,2000,"M"
"Clay",138,53,2000,"M"
"Clay",70,57,2000,"M"
"Clay",74,73,2000,"M"
"Clay",422,77,2000,"M"
"Clay",60,193,2000,"M"
"Clay",220,360,2000,"M"
"Clay",6,146,2000,"M"
"Clay",85,115,2000,"M"
"Clay",84,39,2000,"M"
"Clay",103,92,2000,"M"
"Clay",151,7,2000,"M"
"Clay",46,128,2000,"M"
"Clay",111,116,2000,"M"
"Clay",138,133,2000,"M"
"Clay",60,422,2000,"M"
"Clay",220,101,2000,"M"
"Clay",6,103,2000,"M"
"Clay",85,70,2000,"M"
"Clay",84,74,2000,"M"
"Clay",151,88,2000,"M"
"Clay",46,111,2000,"M"
"Clay",60,151,2000,"M"
"Clay",6,138,2000,"M"
"Clay",85,220,2000,"M"
"Clay",84,46,2000,"M"
"Clay",6,85,2000,"M"
"Clay",84,60,2000,"M"
"Clay",6,84,2000,"M"
"Clay",73,118,2000,"M"
"Clay",56,91,2000,"M"
"Clay",19,145,2000,"M"
"Clay",68,97,2000,"M"
"Clay",5,349,2000,"M"
"Clay",22,77,2000,"M"
"Clay",78,69,2000,"M"
"Clay",184,157,2000,"M"
"Clay",129,74,2000,"M"
"Clay",120,50,2000,"M"
"Clay",102,90,2000,"M"
"Clay",45,101,2000,"M"
"Clay",108,138,2000,"M"
"Clay",56,108,2000,"M"
"Clay",19,137,2000,"M"
"Clay",105,68,2000,"M"
"Clay",5,184,2000,"M"
"Clay",22,73,2000,"M"
"Clay",78,102,2000,"M"
"Clay",72,120,2000,"M"
"Clay",45,129,2000,"M"
"Clay",19,78,2000,"M"
"Clay",5,105,2000,"M"
"Clay",72,22,2000,"M"
"Clay",45,56,2000,"M"
"Clay",19,45,2000,"M"
"Clay",72,5,2000,"M"
"Clay",72,19,2000,"M"
"Hard",1,162,2000,"M"
"Hard",64,26,2000,"M"
"Hard",43,28,2000,"M"
"Hard",32,236,2000,"M"
"Hard",16,83,2000,"M"
"Hard",48,54,2000,"M"
"Hard",30,15,2000,"M"
"Hard",11,21,2000,"M"
"Hard",18,44,2000,"M"
"Hard",8,75,2000,"M"
"Hard",60,20,2000,"M"
"Hard",25,27,2000,"M"
"Hard",65,121,2000,"M"
"Hard",7,29,2000,"M"
"Hard",2,17,2000,"M"
"Hard",34,51,2000,"M"
"Hard",43,1,2000,"M"
"Hard",16,65,2000,"M"
"Hard",30,25,2000,"M"
"Hard",11,64,2000,"M"
"Hard",18,34,2000,"M"
"Hard",8,48,2000,"M"
"Hard",7,60,2000,"M"
"Hard",16,32,2000,"M"
"Hard",30,43,2000,"M"
"Hard",11,8,2000,"M"
"Hard",11,16,2000,"M"
"Hard",18,30,2000,"M"
"Hard",18,11,2000,"M"
"Hard",34,1,2000,"M"
"Hard",62,59,2000,"M"
"Hard",40,24,2000,"M"
"Hard",42,75,2000,"M"
"Hard",26,38,2000,"M"
"Hard",13,20,2000,"M"
"Hard",53,58,2000,"M"
"Hard",51,23,2000,"M"
"Hard",10,48,2000,"M"
"Hard",30,11,2000,"M"
"Hard",46,86,2000,"M"
"Hard",19,41,2000,"M"
"Hard",22,144,2000,"M"
"Hard",9,25,2000,"M"
"Hard",12,43,2000,"M"
"Hard",21,16,2000,"M"
"Hard",70,83,2000,"M"
"Hard",55,57,2000,"M"
"Hard",3,27,2000,"M"
"Hard",6,102,2000,"M"
"Hard",8,65,2000,"M"
"Hard",68,229,2000,"M"
"Hard",5,37,2000,"M"
"Hard",35,47,2000,"M"
"Hard",15,157,2000,"M"
"Hard",7,44,2000,"M"
"Hard",18,228,2000,"M"
"Hard",31,29,2000,"M"
"Hard",2,32,2000,"M"
"Hard",33,4,2000,"M"
"Hard",64,120,2000,"M"
"Hard",28,39,2000,"M"
"Hard",34,51,2000,"M"
"Hard",62,12,2000,"M"
"Hard",26,15,2000,"M"
"Hard",13,70,2000,"M"
"Hard",10,55,2000,"M"
"Hard",30,31,2000,"M"
"Hard",19,9,2000,"M"
"Hard",22,6,2000,"M"
"Hard",8,53,2000,"M"
"Hard",68,18,2000,"M"
"Hard",5,40,2000,"M"
"Hard",35,42,2000,"M"
"Hard",2,46,2000,"M"
"Hard",33,21,2000,"M"
"Hard",64,3,2000,"M"
"Hard",28,7,2000,"M"
"Hard",34,68,2000,"M"
"Hard",26,33,2000,"M"
"Hard",10,28,2000,"M"
"Hard",8,30,2000,"M"
"Hard",5,19,2000,"M"
"Hard",35,22,2000,"M"
"Hard",2,62,2000,"M"
"Hard",64,13,2000,"M"
"Hard",26,5,2000,"M"
"Hard",10,2,2000,"M"
"Hard",8,34,2000,"M"
"Hard",35,64,2000,"M"
